hca_db_vid,hca_db_title,sv_volume,sv_xml_id,sv_xml_id_source,sv_incipit,sv_source_file,match_method,status
1502,Ved min Velgiører Provst Gutfelds Død af A...... (Hvem jorder man?-).,SV7,hvem-jorder-man-see-hvilken-talrig-skare,tei,Hvem jorder man? see hvilken talrig Skare,Andersen 7 - Digte I_w_notes_Rebecca.xml,prefix,candidate
1503,Fastelavnssang (Nordens kraft er ej forsvunden),SV7,nordens-kraft-er-ei-forsvunden,tei,Nordens Kraft er ei forsvunden,Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1504,"†Ved Mad. A. K. Spendrups Grav, af C. (Hustrue! Moder! Du har os forladt!).",SV7,hustrue-moder-du-har-os-forladt,tei,»Hustrue! Moder! Du har os forladt!,Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1505,Aftenen - (Et træsnit) (En aften dejlig som i en roman),SV7,en-aften-deilig-som-i-en-roman,tei,"En Aften deilig, som i en Roman!",Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1506,"Den rædselsfulde time (Kom ej Rundetårn for nær, er det midnatstide)",SV7,kom-ei-rundetaarn-for-naer-er-det-midnatstide,tei,"Kom ei Rundetaarn for nær, er det Midnatstide",Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1507,"Det døende barn (Moder, jeg er træt, nu vil jeg sove)",SV7,moder-jeg-er-traet-nu-vil-jeg-sove,tei,"Moder, jeg er træt, nu vil jeg sove",Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1510,"Sjælen (Kraft, som i vort indre lever)",SV7,kraft-som-i-vort-indre-lever,tei,"Kraft, som i vort Indre lever",Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1511,Poetisk Spiseseddel af H - - (En Suppe kogt paa de homerske Helte).,SV7,en-suppe-kogt-paa-de-homerske-helte,tei,En Suppe kogt paa de homerske Helte,Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1513,Rimedjævelen (Før jeg med blæk papiret vil bemale),SV7,foer-jeg-med-blaek-papiret-vil-bemale,tei,Før jeg med Blæk Papiret vil bemale,Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1520,Nytårsnat  (Nu slumrer hoben i den store stad),SV7,-nu-slumrer-hoben-i-den-store-stad,tei,– Nu slumrer Hoben i den store Stad,Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1521,Den nye Forening. Den 28de Januar 1829. (Kold og taus Naturen sover).,SV7,kold-og-taus-naturen-sover,tei,Kold og taus Naturen sover,Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1522,Snedronningen (Højt ligger på marken den hvide sne),SV7,hoeit-ligger-paa-marken-den-hvide-snee,tei,Høit ligger paa Marken den hvide Snee,Andersen 7 - Digte I_w_notes_Rebecca.xml,prefix,candidate
1523,"Østergade, poetisk betragtet (Det hele liv, ret som det står)",SV7,det-hele-liv-ret-som-det-staaer,tei,"Det hele Liv, ret som det staaer",Andersen 7 - Digte I_w_notes_Rebecca.xml,prefix,candidate
1524,"Kunstnerlivet (Rask rokken snurrede, kanarifuglen sang)",SV7,rask-rokken-snurrede-kanarifuglen-sang,tei,"Rask Rokken snurrede, Kanarifuglen sang",Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1525,Fantasi og vanvid (Bag brombærhækken hist ved afgrundsranden),SV7,bag-brombaerhaekken-hist-ved-afgrunds-randen,tei,Bag Brombærhækken hist ved Afgrunds Randen,Andersen 7 - Digte I_w_notes_Rebecca.xml,prefix,candidate
1526,Ingenting og noget (Hør nu en sang om ingenting),SV7,hoer-nu-en-sang-om-ingenting,tei,Hør nu en Sang om Ingenting!,Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1527,Til min moder (I barndoms kraftløshed på moderarme),SV7,i-barndoms-kraftloeshed-paa-moder-arme,tei,I Barndoms Kraftløshed paa Moder-Arme,Andersen 7 - Digte I_w_notes_Rebecca.xml,prefix,candidate
1528,Den 1. august 1829 (Da første gang jeg åbnede mit øje),SV7,da-foerste-gang-jeg-aabnede-mit-oeie,tei,Da første Gang jeg aabnede mit Øie,Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1530,Ved en tragedies dødsfald (Forleden aften - sådan klokken ni),SV7,forleden-aften-saadan-klokken-ni,tei,Forleden Aften – saadan Klokken ni,Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1532,Gråt vejr  (Den våde tåge hænger dorsk over mark og by),SV7,den-vaade-taage-haenger-dorsk-over-mark-og-by,tei,Den vaade Taage hænger dorsk over Mark og By,Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1533,Det syge Hjerte. (Kjære Piger! vil I vide).,SV7,kjaere-piger-vil-i-vide,tei,Kjære Piger! vil I vide,Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1534,Epigrammatiske digte III  (Hvad er vort liv fra vuggen til vor båre),SV7,hvad-er-vort-liv-fra-vuggen-til-vor-baare,tei,Hvad er vort Liv fra Vuggen til vor Baare?,Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1535,"Oldtids huslige liv (Ak, hvor romantisk smiler dog det bjælkehus i dalen)",SV7,ak-hvor-romantisk-smiler-dog-det-bjaelkehuus-i-dalen,tei,"Ak, hvor romantisk smiler dog det Bjælkehuus i Dalen!",Andersen 7 - Digte I_w_notes_Rebecca.xml,prefix,candidate
1536,"Studenten (Højt under taget, hvor svalen bor)",SV7,hoeit-under-taget-hvor-svalen-boer,tei,"Høit under Taget, hvor Svalen boer",Andersen 7 - Digte I_w_notes_Rebecca.xml,prefix,candidate
1537,"Dødsøjeblikket (Hvad er det dog, som lyser? det lutres for min sans)",SV7,hvad-er-det-dog-som-lyser-det-luttres-for-min-sands,tei,Hvad er det dog som lyser? det luttres for min Sands,Andersen 7 - Digte I_w_notes_Rebecca.xml,prefix,candidate
1538,"Regnvejr (Det regner, vil I bare se! - i vand står hele gaden)",SV7,det-regner-vil-i-bare-see-i-vand-staaer-hele-gaden,tei,"Det regner, vil I bare see! – i Vand staaer hele Gaden",Andersen 7 - Digte I_w_notes_Rebecca.xml,prefix,candidate
1539,"Hjertesuk af en udtjent damekjole (Der var en tid, da jeg var ganske ny)",SV7,der-var-en-tid-da-jeg-var-ganske-ny-,tei,"Der var en Tid, da jeg var ganske ny –",Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1540,Tyveknægten  (I vuggen ligger det spæde nor),SV7,i-vuggen-ligger-det-spaede-noer,tei,I Vuggen ligger det spæde Noer,Andersen 7 - Digte I_w_notes_Rebecca.xml,prefix,candidate
1541,Soldaten (Med dæmpede hvirvler trommerne gå),SV7,med-daempede-hvirvler-trommerne-gaae,tei,Med dæmpede Hvirvler Trommerne gaae,Andersen 7 - Digte I_w_notes_Rebecca.xml,prefix,candidate
1544,"Kometen - Et sagn (Da sol stod op, og alle nattens terner)",SV7,da-sol-stod-op-og-alle-nattens-terner,tei,"Da Sol stod op, og alle Nattens Terner",Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1545,Recension (Vel rødmer land og hav ret smukt i aftensolens flamme),SV7,vel-roedmer-land-og-hav-ret-smukt-i-aftensolens-flamme,tei,Vel rødmer Land og Hav ret smukt i Aftensolens Flamme,Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1546,"Klintekorset på Møn (Det er en lys, en dejlig sommernat)",SV7,det-er-en-lys-en-deilig-sommernat,tei,"Det er en lys, en deilig Sommernat",Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1547,Skolemesteren  (I den lumre skolestue vil vi nu dvæle lidt),SV7,i-den-lumre-skolestue-ville-vi-nu-dvaele-lidt,tei,I den lumre Skolestue ville vi nu dvæle lidt,Andersen 7 - Digte I_w_notes_Rebecca.xml,prefix,candidate
1549,Flyttedagen i april (Nu vintrens gamle gubbe forlader sit logi),SV7,nu-vintrens-gamle-gubbe-forlader-sit-logi,tei,Nu Vintrens gamle Gubbe forlader sit Logi,Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1551,Martsviolerne (Sig himlen hvælver så ren og klar),SV7,sig-himlen-hvaelver-saa-reen-og-klar,tei,Sig Himlen hvælver saa reen og klar,Andersen 7 - Digte I_w_notes_Rebecca.xml,prefix,candidate
1552,"Capriccio (Et spejl er søens flade, det er så smuk en dag)",SV7,et-speil-er-soeens-flade-det-er-saa-smuk-en-dag,tei,"Et Speil er Søens Flade, det er saa smuk en Dag",Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1553,En fæl historie (Barsk sidder drotten i skarlagen rødt),SV7,barsk-sidder-drotten-i-skarlagen-roedt,tei,Barsk sidder Drotten i Skarlagen rødt,Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
1554,Mosters skærmbræt (Når kulden barsk sig nærmed'),SV7,naar-kulden-barsk-sig-naermed,tei,Naar Kulden barsk sig nærmed’,Andersen 7 - Digte I_w_notes_Rebecca.xml,exact,candidate
