rid,register_label,register_incipit_raw,sv_volume,sv_xml_id,sv_incipit,match_method,star_marked,hca_db_vid,hca_db_title,three_way,status,verified_via,notes
Reg000065,*»Hvor Stormen løfter høit sin stærke Stemme -« (Vandrerens Sang),Hvor Stormen løfter høit sin stærke Stemme -,SV8,hvor-stormen-loefter-hoeit-sin-staerke-stemme,Hvor Stormen løfter høit sin stærke Stemme,exact,yes,2330,Vandrerens sang (Hvor stormen løfter højt sin stærke stemme),yes,candidate,,
Reg000424,"Bøn (»Han, som i Stormen er vor faste Borg -«)","Han, som i Stormen er vor faste Borg -",SV8,han-som-i-stormen-er-vor-faste-borg,"Han, som i Stormen er vor faste Borg",exact,no,1944,Bøn  (Han som i stormen er vor faste borg),yes,candidate,,
Reg000571,Danmark. (»Endnu er ei Danmark en Kæmpegrav -«),Endnu er ei Danmark en Kæmpegrav -,SV8,endnu-er-ei-danmark-en-kaempegrav,Endnu er ei Danmark en Kæmpegrav,exact,no,2238,Forvisning (Endnu er ej Danmark en kæmpegrav),yes,candidate,,
Reg002357,Med en Buket Violer til en ung Dame (»De fattige Blomster drømte i Nat -«),De fattige Blomster drømte i Nat -,SV8,de-fattige-blomster-droemte-i-nat,De fattige Blomster drømte i Nat,exact,no,1937,Med en buket violer  (De fattige blomster drømte i nat),yes,candidate,,
Reg002643,Paa Nytaarsmorgen (»Du Evighedens Gaade -«),Du Evighedens Gaade -,SV8,du-evighedens-gaade,Du Evighedens Gaade,exact,no,2249,Et besøg i Portugal 1866 6 (Du evighedens gåde),yes,candidate,,
Reg002746,Psalme (»Jeg har en Angst som aldrig før -«).,Jeg har en Angst som aldrig før -,SV8,jeg-har-en-angst-som-aldrig-foer,Jeg har en Angst som aldrig før,exact,no,2241,Jeg har en angst som aldrig før (Jeg har en angst som aldrig før),yes,candidate,,
Reg003049,"Snegle-Spyt (»Den vaade, sorte Snegl ved Rosen sad-«)","Den vaade, sorte Snegl ved Rosen sad-",SV8,den-vaade-sorte-snegl-ved-rosen-sad,"Den vaade, sorte Snegl ved Rosen sad",exact,no,2269,"Sneglespyt (Den våde, sorte snegl ved rosen sad)",yes,candidate,,
Reg003260,Til Maleren Carl Bloch (»Det var Udstillingstiden paa Charlottenborg -«),Det var Udstillingstiden paa Charlottenborg -,SV8,det-var-udstillingstiden-paa-charlottenborg,Det var Udstillingstiden paa Charlottenborg,exact,no,2321,"Til maleren Carl Bloch (Det var udstillingstiden på Charlottenborg,)",yes,candidate,,
Reg003416,Ved Thorvaldsens Kiste (»Træd hen til Kisten her!«),Træd hen til Kisten her!,SV8,traed-hen-til-kisten-her-kom-fattig-mand,"Træd hen til Kisten her! kom, fattig Mand",prefix,no,1933,"Thorvaldsen III  Ved Thorvaldsens kiste  (Træd hen til kisten her! kom, fattig mand)",yes,candidate,,
Reg003447,Vers-Vignet (»Paa Ungdommens friske Rosenblad -«),Paa Ungdommens friske Rosenblad -,SV8,paa-ungdommens-friske-rosenblad,Paa Ungdommens friske Rosenblad,exact,no,2248,Vers-vignet (På ungdommens friske rosenblad),yes,candidate,,
